content,label,type
"Wow what an amazing walk on the Great Wall of China, amazing view from each look out points along the wall, November weather was fantastic while we were there.",0,train
"I came to spend 2 hours between 2 professional meetings, I really enjoyed this large beach, the water is turquoise, there were a lot of very beautiful girls",0,train
A MUST visit in one's life. History and Art from the Byzantium Empire still kept in good shape. The chandeliers are glowing like they used to centuries ago. The mosaic speaks to you in many ways. Mesmerizing experience!,1,train
"It's was very peaceful and beautiful, go with a guide to explain the history and everything about it, really nicee pictures",0,train
It is beautiful lake in all seasons. Beautiful in summer to swim in and stunning in winter to enjoy its tranquility.,0,train
"The iconic square is located by St. Mark's Basillica. Restaurants and shops outline the square, the price is more.  There are museums and attractions in and around the square. The only way to get to San Marco is by water transport  or walk.",0,train
Our hotel was near the shops and river hotel ibis strasbourg centre petite france we walked round very busy but pretty and looking at all the restaurants to have something to eat plenty of places and lots of choice .We went to steakhouse district and had steak meal and also,1,train
"Really nice beaches, nice wooden walk along the colorful Lifeguard houses. The water is very nice, mind the flags for bathing information!",0,train
"First time inside Hagia Sophia after it became a mosque. Easy access, no entrance fee, very peaceful. Floor covered in carpet inside prayer hall.",0,train
Great piece of engineering and very well maintained. Lots of choices in the surroundings shops and restaurant.,1,train
"Very nice place to relax. Good range of attractions and amazing views. Also a good hub in central switzerland if you plan to venture further into the country. But can be overly crowded. If you are looking for a very relaxing, quiet and serene place, I would recommend Weggis which is about 45 mins ferry ride from Luzern. Costs in Weggis are also lower than Luzern.  Highly recommended and would return.",0,train
"There is very little I can write, by way of giving information, that isn't already widely available across the internet, so I'll stick to personal advice and experience. The ""At The Top"" experience can be booked up to 28 days in advance and I'd strongly recommend doing that. It can avoid hours of queueing on the day. You can also add the option of a virtual reality experience and I'd also recommend that.  The experience begins with a journey to the 125th floor in the fastest elevator I've ever been in, yet you have no real sensation of the speed when inside. It's only when you get there, and look down from the viewing platform, that you realise how far you have travelled in such a short space of time. There is a photographer offering the usual professional shots that you think you'll never buy, but they were so good that we did buy several of them. However, you can also capture many great shots with your own camera, so be sure to remember to take it with you. I'll attach several of my own to this review.",1,train
You can by a pass for historical sites and rush the lane on it. Do not forget about sun - take a covers.,0,train
